,name,neighborhood,property_type,room_type,amenities,price
564,Private Courtyard/Fire Pit - Alberta Arts District,King,Entire guest suite,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Dishwasher"", ""Fire extinguisher"", ""Patio or balcony""]",163.0
565,Tiny House Haven,Montavilla,Entire guesthouse,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""TV with standard cable"", ""Air conditioning"", ""Fire extinguisher"", ""Patio or balcony""]",85.0
566,Private Minimalist Architecture Guesthouse Loft,Kerns,Entire guesthouse,Entire home/apt,"[""Iron"", ""Self check-in"", ""TV"", ""Smoke alarm"", ""Washer"", ""Wifi"", ""Full kitchen"", ""Air conditioning"", ""Dryer"", ""Bathroom essentials"", ""Coffee maker"", ""Bedroom comforts"", ""Heating"", ""Hair dryer"", ""Free street parking"", ""Carbon monoxide alarm""]",171.0
567,Alberta Arts Oasis: Basil's Garden Room,Beaumont-Wilshire,Private room in bungalow,Private room,"[""Coffee maker"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Backyard"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Bed linens"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Patio or balcony""]",54.0
568,Cedar Grove,Rose City Park,Entire guest suite,Entire home/apt,"[""Outlet covers"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Pocket wifi"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Luggage dropoff allowed"", ""Heating"", ""Cleaning products"", ""Breakfast"", ""Private entrance"", ""High chair"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",56.0
569,Brand New Studio in Brooklyn,Brooklyn Action Corps,Entire guest suite,Entire home/apt,"[""Single level home"", ""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Dishwasher"", ""Fire extinguisher""]",75.0
570,Tucked Inn Cully,Roseway,Entire cottage,Entire home/apt,"[""Pour-over coffee"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Bidet"", ""Dishes and silverware"", ""Stove"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Private fenced garden or backyard"", ""Hangers"", ""Wifi"", ""Shared hot tub"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Outdoor furniture"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Dishwasher"", ""Baking sheet"", ""BBQ grill"", ""Fire extinguisher""]",103.0
571,"Large, Private Woodstock Suite",Woodstock,Entire guest suite,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Heating"", ""Breakfast"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Bed linens"", ""BBQ grill"", ""Patio or balcony""]",80.0
572,Arbor Lodge Lodge- a relaxing oasis in the city,Arbor Lodge,Entire guesthouse,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher""]",84.0
573,"Oculus House, a wood & stone neighborhood retreat",St. Johns,Entire residential home,Entire home/apt,"[""Portable fans"", ""Single level home"", ""Clothing storage: closet and dresser"", ""Laundromat nearby"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Board games"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Free driveway parking on premises \u2013 1 space"", ""Body soap"", ""Smart lock"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Kayak"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Outdoor furniture"", ""40\"" HDTV with Amazon Prime Video, HBO Max, Netflix, Roku"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Air conditioning"", ""Room-darkening shades"", ""Freezer"", ""Toaster"", ""Bed linens"", ""Dining table"", ""Dishwasher"", ""Private garden or backyard"", ""Children\u2019s dinnerware"", ""Baking sheet"", ""Outdoor dining area"", ""Fire extinguisher""]",145.0
574,Bright & Cozy Garden Guest House in Alberta,Woodlawn,Entire guesthouse,Entire home/apt,"[""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Free street parking"", ""TV"", ""Kitchen"", ""Body soap"", ""Dishes and silverware"", ""Stove"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Lockbox"", ""Private patio or balcony"", ""Heating"", ""Ceiling fan"", ""Outdoor furniture"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Free parking on premises"", ""Oven"", ""Freezer"", ""Bed linens"", ""Dining table""]",99.0
575,Portland Urban Oasis - your modern & chill space,Overlook,Entire residential home,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Lockbox"", ""Private patio or balcony"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Fire extinguisher""]",263.0
576,Best kept secret GEM studio apartment,Sunnyside,Entire guest suite,Entire home/apt,"[""Ethernet connection"", ""Coffee maker"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Microwave"", ""Cleaning before checkout"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Lockbox"", ""Luggage dropoff allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Mini fridge"", ""Bed linens"", ""Fire extinguisher""]",65.0
577,Private + Serene Family Friendly 2 Bedroom Getaway,Foster-Powell,Entire rental unit,Entire home/apt,"[""Children\u2019s books and toys"", ""Ethernet connection"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Board games"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""sonos Bluetooth sound system"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Cleaning products"", ""Outdoor furniture"", ""Conditioner"", ""Private entrance"", ""High chair"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Free parking on premises"", ""Air conditioning"", ""Room-darkening shades"", ""Pack \u2019n play/Travel crib"", ""Freezer"", ""Toaster"", ""Bed linens"", ""Dining table"", ""Dishwasher"", ""Children\u2019s dinnerware"", ""Baking sheet"", ""Outdoor dining area"", ""Fire extinguisher""]",160.0
578,"SW Portland 10 min to downtown,  OHSU, 2 min to LO",Collins View,Entire guest suite,Entire home/apt,"[""Portable fans"", ""counter 2 burner cooktop electric stove"", ""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Fire pit"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Barbecue utensils"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Drying rack for clothing"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Counter top oven stainless steel oven"", ""Hangers"", ""Shower gel"", ""Safe"", ""Wifi"", ""Wine glasses"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Outdoor furniture"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""TV with standard cable"", ""Bathtub"", ""Washer"", ""Mini fridge"", ""Air conditioning"", ""Toaster"", ""Freezer"", ""Bed linens"", ""Private garden or backyard"", ""Dishwasher"", ""Baking sheet"", ""Clothing storage: walk-in closet and dresser"", ""BBQ grill"", ""Fire extinguisher"", ""Keurig coffee machine""]",140.0
579,"Bright, Quiet,  and Private Guest House",Mt. Scott-Arleta,Entire cottage,Entire home/apt,"[""Portable fans"", ""Single level home"", ""Outdoor dining area"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Board games"", ""Hair dryer"", ""Clothing storage: dresser and closet"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Drying rack for clothing"", ""Dishes and silverware"", ""32\"" HDTV with Roku"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Fenced garden or backyard"", ""Hot water"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Cleaning products"", ""Outdoor furniture"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Free parking on premises"", ""Air conditioning"", ""Room-darkening shades"", ""Toaster"", ""Bed linens"", ""Dishwasher"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""Fire extinguisher""]",147.0
580,"Laurelhurst Rose - Private, Charming, New Remodel",Laurelhurst,Entire guest suite,Entire home/apt,"[""Portable fans"", ""Cooking basics"", ""Board games"", ""Hair dryer"", ""Clothing storage: dresser and closet"", ""Iron"", ""Kitchen"", ""Dishes and silverware"", ""Thrive shampoo"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Thrive body soap"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Lockbox"", ""Cleaning products"", ""Outdoor furniture"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Free parking on premises"", ""Air conditioning"", ""Toaster"", ""Freezer"", ""43\"" HDTV with Netflix, Amazon Prime Video"", ""Thrive conditioner"", ""Bed linens"", ""Central heating"", ""Fire extinguisher"", ""Patio or balcony""]",88.0
581,Luxury Midcentury Apartment in NE Portland,Grant Park,Entire rental unit,Entire home/apt,"[""Security cameras on property"", ""Coffee maker"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Smart lock"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Air conditioning"", ""Fire extinguisher"", ""Patio or balcony""]",99.0
582,Private Guest Apartment in NE Portland,Montavilla,Entire guest suite,Entire home/apt,"[""Portable fans"", ""Laundromat nearby"", ""Coffee maker"", ""Cooking basics"", ""Board games"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Magic Chef refrigerator"", ""Bidet"", ""Drying rack for clothing"", ""Kitchen Aid Convection / Toaster Oven  stainless steel oven"", ""Dishes and silverware"", ""Dial body soap"", ""Clothing storage"", ""Carbon monoxide alarm"", ""First aid kit"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Lockbox"", ""Cleaning products"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Toaster"", ""Room-darkening shades"", ""Freezer"", ""Bed linens"", ""Dining table"", ""52\"" HDTV with Amazon Prime Video, Netflix"", ""Radiant heating"", ""Baking sheet"", ""Induction stove"", ""Fire extinguisher""]",73.0
583,BlackBox  Luxurious historic restoration with 5 beds!,Kenton,Entire residential home,Entire home/apt,"[""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Private fenced garden or backyard"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",125.0
584,Private 2 Bed 1 Bath Centrally Located Home,Buckman,Entire guest suite,Entire home/apt,"[""Portable fans"", ""Security cameras on property"", ""Children\u2019s books and toys"", ""Piano"", ""Pour-over coffee"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Body soap"", ""Smart lock"", ""Dishes and silverware"", ""Clothing storage"", ""Carbon monoxide alarm"", ""First aid kit"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Cleaning products"", ""Outdoor furniture"", ""Breakfast"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""Patio or balcony""]",110.0
585,Overlook/Contemporary apartment with private patio,Overlook,Entire guest suite,Entire home/apt,"[""Single level home"", ""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Crib"", ""Shampoo"", ""Refrigerator"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""TV with standard cable"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",99.0
586,Bright and Cozy NEPDX Suite,Concordia,Entire guest suite,Entire home/apt,"[""Coffee maker"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Cable TV"", ""First aid kit"", ""Clothing storage"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Luggage dropoff allowed"", ""Heating"", ""Conditioner"", ""Private entrance"", ""Game console: Xbox 360"", ""Essentials"", ""Smoke alarm"", ""TV with standard cable"", ""dr. bronner's body soap"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Bed linens"", ""Keurig coffee machine""]",78.0
587,"Your cozy, private studio escape!",Boise,Entire guesthouse,Entire home/apt,"[""Coffee maker"", ""Dedicated workspace"", ""Hair dryer"", ""Free street parking"", ""Kitchen"", ""Trash compactor"", ""Microwave"", ""Stove"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Heating"", ""Private entrance"", ""Essentials"", ""Smoke alarm"", ""Bathtub"", ""Washer"", ""Oven"", ""Air conditioning"", ""Toaster"", ""Freezer"", ""Dining table"", ""Dishwasher"", ""Fire extinguisher""]",96.0
588,SW Room w/ sweet Dalmatian co-host & EV Charger,Multnomah,Private room in bungalow,Private room,"[""Single level home"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""EV charger"", ""Lockbox"", ""Heating"", ""Breakfast"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""Dishwasher"", ""Fire extinguisher""]",43.0
589,The Portland Villa on Alberta St,Concordia,Entire residential home,Entire home/apt,"[""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Private fenced garden or backyard"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Outdoor furniture"", ""Private entrance"", ""High chair"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""TV with standard cable"", ""Oven"", ""Air conditioning"", ""Pack \u2019n play/Travel crib"", ""Dishwasher"", ""Baby safety gates"", ""Fire extinguisher""]",557.0
590,Hollywood One Bedroom Home,Rose City Park,Entire residential home,Entire home/apt,"[""Portable fans"", ""Single level home"", ""Various brands but if you have a special request and I am able to fulfill it I will. Due to Covid 19 I am providing a bar body soap that I ask guests to discard as part of the departure process conditioner"", ""Laundromat nearby"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Board games"", ""Hair dryer"", ""Clothing storage: closet"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Cleaning before checkout"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Host greets you"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Backyard"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Outdoor furniture"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Oven"", ""Toaster"", ""Room-darkening shades"", ""Freezer"", ""Bed linens"", ""Central heating"", ""Dishwasher"", ""Dining table"", ""Various brands but if you have a special request and I am able to fulfill it I will.  Due to Covid 19 I am providing a bar body soap that I ask guests to discard as part of the departure process body soap"", ""Baking sheet"", ""Fire extinguisher"", ""Patio or balcony""]",100.0
591,Sweet Private Suite in N Portland/Piedmont home,Piedmont,Entire guest suite,Entire home/apt,"[""Portable fans"", ""Laundromat nearby"", ""Coffee maker"", ""Clothing storage: wardrobe"", ""Cooking basics"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Body soap"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Shared garden or backyard"", ""First aid kit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Lockbox"", ""Heating"", ""Cleaning products"", ""Outdoor furniture"", ""Breakfast"", ""Conditioner"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Bathtub"", ""Mini fridge"", ""Air conditioning"", ""Toaster"", ""Bed linens"", ""Dining table"", ""Dedicated workspace: table"", ""Outdoor dining area"", ""Fire extinguisher"", ""Shared patio or balcony""]",117.0
592,"Quiet, Private Apartment Retreat",Hillsdale,Entire rental unit,Entire home/apt,"[""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Dishes and silverware"", ""Stove"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Air conditioning"", ""Patio or balcony""]",145.0
593,"Sunny, Modern Guesthouse South Tabor Neighborhood",South Tabor,Entire guesthouse,Entire home/apt,"[""Children\u2019s books and toys"", ""Ethernet connection"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Stove"", ""First aid kit"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Dryer"", ""Backyard"", ""Long term stays allowed"", ""Lockbox"", ""Heating"", ""Private entrance"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Air conditioning"", ""Bed linens"", ""BBQ grill"", ""Fire extinguisher"", ""Patio or balcony""]",101.0
594,"1,390+ 5-Star Reviews Can't Be Wrong!",Sellwood-Moreland Improvement League,Private room in residential home,Private room,"[""Security cameras on property"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Bidet"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hangers"", ""Shower gel"", ""Wifi"", ""Hot water"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher""]",46.0
595,Exquisite Historic Suite- uptown,Southwest Hills,Private room in residential home,Private room,"[""Coffee maker"", ""Elevator"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Kitchen"", ""Cable TV"", ""Microwave"", ""Keypad"", ""Dishes and silverware"", ""First aid kit"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Hot water"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Essentials"", ""Free parking on premises"", ""Smoke alarm"", ""TV with standard cable"", ""Fire extinguisher""]",135.0
596,Handbuilt Alberta Arts Cottage,Concordia,Entire residential home,Entire home/apt,"[""Clothing storage: closet and dresser"", ""Coffee maker"", ""Cooking basics"", ""Dedicated workspace"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""TV"", ""Kitchen"", ""Microwave"", ""Keypad"", ""Extra pillows and blankets"", ""Body soap"", ""Dishes and silverware"", ""Stove"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Refrigerator"", ""Shampoo"", ""Private fenced garden or backyard"", ""Hangers"", ""Shower gel"", ""Wine glasses"", ""Wifi"", ""Hot water"", ""Dryer"", ""Long term stays allowed"", ""Private patio or balcony"", ""Heating"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Outdoor furniture"", ""Conditioner"", ""Private entrance"", ""Essentials"", ""Hot water kettle"", ""Smoke alarm"", ""Washer"", ""Oven"", ""Free parking on premises"", ""Air conditioning"", ""Toaster"", ""Freezer"", ""Bed linens"", ""Dining table"", ""Baking sheet"", ""Baby safety gates"", ""Outdoor dining area"", ""Fire extinguisher""]",214.0
